Profile steps 100-102, LUMEN_PREFER_HIPBLASLT=1

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.00%     121.540us         0.00%     156.721us       1.844us       0.000us         0.00%       0.000us       0.000us            85  
                                       aten::as_strided         0.06%       6.915ms         0.06%       6.915ms       0.777us       0.000us         0.00%       0.000us       0.000us          8897  
                                       aten::is_nonzero         0.00%      36.742us        29.98%        3.705s     123.489ms       0.000us         0.00%      39.440us       1.315us            30  
                                             aten::item         0.00%      90.179us        29.99%        3.705s      46.901ms       0.000us         0.00%     161.940us       2.050us            79  
                                             aten::view         0.31%      38.164ms         0.31%      38.164ms       1.101us       0.000us         0.00%       0.000us       0.000us         34661  
                                           aten::narrow         0.00%      55.509us         0.00%     118.178us       6.565us       0.000us         0.00%       0.000us       0.000us            18  
                                            aten::slice         0.00%     101.212us         0.00%     134.951us       2.109us       0.000us         0.00%       0.000us       0.000us            64  
                                             aten::ones         0.00%      17.498us         0.00%     113.848us      18.975us       0.000us         0.00%     164.210us      27.368us             6  
                                          aten::resize_         0.01%     664.116us         0.01%     664.116us      15.812us       0.000us         0.00%       0.000us       0.000us            42  
                                        aten::unsqueeze         0.00%      65.848us         0.00%      82.476us       5.498us       0.000us         0.00%       0.000us       0.000us            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.357s
Self CUDA time total: 12.516s
